OBJECTID,NAMELSAD,TotalPopul,Unemployme,Median_Hou,PercentFam,PercentF_1,PercentPop,PercentP_1,TotalPop_M,PercentTot,TotalPop_F,PercentT_1,Median_Age,Pop_Under5,PercentP_2,Pop_5to9_Y,PercentP_3,Pop_10to14,PercentP_4,Pop_15to19,PercentP_5,Pop_18andO,PercentP_6,Pop_65andO,PercentP_7
1,Hernando County,173119,8.2,41024,12.1,22.7,17.3,13.8,82934,47.9,90185,52.1,48,8060,4.7,10139,5.9,9129,5.3,10024,5.8,139399,80.5,45466,26.3
2,Wakulla County,30824,6.2,52691,11.5,21,12.1,6.3,16894,54.8,13930,45.2,39.6,1778,5.8,1423,4.6,2380,7.7,1800,5.8,24098,78.2,3469,11.3
3,Walton County,56590,5.6,43640,12,22,19,11.9,28793,50.9,27797,49.1,43.1,3242,5.7,3096,5.5,3278,5.8,3062,5.4,45105,79.7,9663,17.1
4,Volusia County,496268,5.9,42457,11.6,21.1,18.6,12.3,241922,48.7,254346,51.3,45.7,24134,4.9,24882,5,26428,5.3,29854,6,403875,81.4,107729,21.7
5,Hendry County,38346,9.1,35425,21.9,33.8,34,19.4,20730,54.1,17616,45.9,33,3062,8,2527,6.6,3372,8.8,2846,7.4,27653,72.1,4588,12
6,Orange County,1175416,7.8,47581,12.8,19.6,22.2,13.5,578830,49.2,596586,50.8,34,75312,6.4,75929,6.5,75573,6.4,85364,7.3,901669,76.7,117189,10
7,Broward County,1784889,8,51251,10.9,15.2,22.6,13,866277,48.5,918612,51.5,39.8,105197,5.9,104146,5.8,114123,6.4,114029,6.4,1390222,77.9,259166,14.5
8,Palm Beach County,1339221,7.1,52432,10.4,17.9,20.1,14.2,648352,48.4,690869,51.6,43.7,70607,5.3,74297,5.5,76253,5.7,80471,6,1069003,79.8,293436,21.9
9,Gilchrist County,16917,8.2,38406,20.7,28.4,22.2,15,8871,52.4,8046,47.6,40.6,890,5.3,943,5.6,929,5.5,1535,9.1,13275,78.5,2998,17.7
10,Miami-Dade County,2549075,7.4,43100,16.4,22.5,29.8,14.8,1236500,48.5,1312575,51.5,38.5,152561,6,147784,5.8,150039,5.9,164606,6.5,2002286,78.5,366719,14.4
11,Highlands County,98275,6.7,35560,13.8,27.4,18.5,13.8,47913,48.8,50362,51.2,51.8,4916,5,4872,5,4991,5.1,4855,4.9,80448,81.9,32015,32.6
